2026-06-23 15:02:35.893 | INFO     | app.core.database:init_db:145 - 数据库表初始化完成
2026-06-23 15:02:35.893 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 15:02:40.681 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 15:03:10.412 | INFO     | app.service.chat_service:get_or_create_session:43 - 创建新会话: 846b752909bf44b78e06cc4ec0d8f74a
2026-06-23 15:04:59.464 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 15:04:59.468 | INFO     | app.core.database:get_db:21 - 数据库连接已建立: C:\Users\Administrator\OneDrive\Desktop\双体系统\data\sqlite\shuangti.db
2026-06-23 15:04:59.468 | INFO     | app.core.database:init_db:145 - 数据库表初始化完成
2026-06-23 15:04:59.468 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 15:05:05.145 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 15:05:29.739 | INFO     | app.service.chat_service:get_or_create_session:43 - 创建新会话: bb21e80b0b894631b14847df41828439
2026-06-23 15:06:37.767 | INFO     | app.service.chat_service:get_or_create_session:43 - 创建新会话: a5ce7bfa75c74dedad148146ab2c8093
2026-06-23 15:10:28.709 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 15:10:28.714 | INFO     | app.core.database:get_db:21 - 数据库连接已建立: C:\Users\Administrator\OneDrive\Desktop\双体系统\data\sqlite\shuangti.db
2026-06-23 15:10:28.715 | INFO     | app.core.database:init_db:139 - 数据库表初始化完成
2026-06-23 15:10:28.715 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 15:10:34.019 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 15:11:17.305 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 64cffec9525042539a36626a82a24a1a
2026-06-23 15:11:18.023 | WARNING  | app.service.chat_service:process_chat:188 - 知识库检索失败: 百炼 Embedding 失败: Invalid API-key provided.
2026-06-23 15:17:57.419 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: c5511e26744445afb7763798b53824ac
2026-06-23 15:21:31.089 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 1ccdad6aeb44498f8ef437cc99525ec6
2026-06-23 15:45:19.174 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: d3e110e71f7f4dfd92cdc023f65ad39a
2026-06-23 15:48:31.213 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: c172f5e2b5ec43c9982d8bf881cf715d
2026-06-23 15:50:50.376 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 5912020e20854038bca597889375df30
2026-06-23 15:55:43.743 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: b59d7e2be354443599dedc79589d33c0
2026-06-23 15:55:44.502 | WARNING  | app.service.chat_service:process_chat:188 - 知识库检索失败: 百炼 Embedding 失败: Invalid API-key provided.
2026-06-23 15:55:57.072 | WARNING  | app.service.chat_service:process_chat:188 - 知识库检索失败: 百炼 Embedding 失败: Invalid API-key provided.
2026-06-23 16:03:47.376 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: f935223ca5a24ed6a5cca84bb87381f7
2026-06-23 16:03:49.508 | WARNING  | app.service.chat_service:process_chat:188 - 知识库检索失败: 百炼 Embedding 失败: Invalid API-key provided.
2026-06-23 16:05:31.956 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: f0eaaf457d35490290836e0481ff12f1
2026-06-23 16:05:33.179 | WARNING  | app.service.chat_service:process_chat:188 - 知识库检索失败: 百炼 Embedding 失败: Invalid API-key provided.
2026-06-23 16:05:48.840 | WARNING  | app.service.chat_service:process_chat:188 - 知识库检索失败: 百炼 Embedding 失败: Invalid API-key provided.
2026-06-23 16:07:51.544 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 71f16e35e4e14f5ea273e54dc641f74c
2026-06-23 16:07:52.277 | WARNING  | app.service.chat_service:process_chat:188 - 知识库检索失败: 百炼 Embedding 失败: Invalid API-key provided.
2026-06-23 16:09:29.817 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 2b8259bab65d4012992829e31b3c223b
2026-06-23 16:09:31.757 | WARNING  | app.service.chat_service:process_chat:188 - 知识库检索失败: 百炼 Embedding 失败: Invalid API-key provided.
2026-06-23 16:12:09.615 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 0e5cd20990de4fea899473121fdc0aca
2026-06-23 16:12:10.369 | WARNING  | app.service.chat_service:process_chat:188 - 知识库检索失败: 百炼 Embedding 失败: Invalid API-key provided.
2026-06-23 16:12:21.951 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 6aa471f980c14bd2a101bf520bd2be22
